['times', 'that', 'were', 'gone', ',']	[0.0, 0.0, 0.0, 0.0, 0.5083886162121676, 0.0, 0.22469054398474103, 0.05046261244302723, 0.12160784337111881, 0.05948076441359802, 0.03536961957534729]
['about', 'the', 'contrast', 'between', 'his']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06950696820270436, 0.05583402637572429, 0.6554282310193436, 0.21923077440222788]
['research', 'she', "'d", 'done', 'on']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
['Left', 'alone', ',', 'she', 'would']	[0.0, 0.0, 0.0, 0.0, 0.31826497869563913, 0.0, 0.26374188310615315, 0.0, 0.0380648941041389, 0.1861828099136047, 0.19374543418046405]
['', 'His', 'voice', 'was', 'timid']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4019732492303947, 0.21526652248171974, 0.21058209659707863, 0.172178131690807]
['you', 'accompany', 'me', '.', '"']	[0.0, 0.0, 0.175317036118109, 0.3536342719428549, 0.07005516129967257, 0.12387019741201682, 0.0464430117022715, 0.0, 0.0335147436862106, 0.06557085524485358, 0.13159472259401095]
['silly', 'and', 'dangerous', '.', '']	[0.0, 0.0, 0.0, 0.2144995643767648, 0.0, 0.0, 0.0, 0.455522541423645, 0.12197174014942959, 0.11931750682896877, 0.08868864722119173]
[',', 'a', 'rich', 'man', 'like']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.1350703855064314, 0.10128466129492027, 0.3639557602171948, 0.07309020966178824, 0.07149968984427876, 0.25509929347538657]
['which', 'was', 'to', 'make', 'him']	[0.0, 0.0, 0.020600487272146598, 0.13504890943997444, 0.18109905799489084, 0.12008096003625002, 0.11187359881882276, 0.12991657048354904, 0.1772155346171602, 0.09438441970819467, 0.029780461629011386]
['size', ',', 'but', 'it', 'was']	[0.0, 0.0, 0.0, 0.1266479501457646, 0.2007122788634727, 0.059149269291479366, 0.06653102029250063, 0.12949744844013644, 0.10402358409173511, 0.1330706666028156, 0.18036778227209543]
['mine', ',', 'may', 'I', 'ask']	[0.0, 0.0, 0.18816454106375186, 0.2846618558494501, 0.15037782484777476, 0.1661844975508126, 0.09969285559549455, 0.06716920764937617, 0.0, 0.01759399736257454, 0.02615522008076536]
['was', 'a', 'period', 'of', 'much']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.1276189576458159, 0.6220310879751396, 0.04298467663170445, 0.06905804211765885, 0.11822171638512234, 0.020085519244558845]
[',', 'lest', 'he', 'frighten', 'her']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.58723800185156, 0.0, 0.41276199814843995]
['of', 'the', 'feline', 'race']	[0.0, 0.0, 0.24177465125525038, 0.1761091190109796, 0.279098576523738, 0.09964838610066835, 0.0853976179854005, 0.03835841796927255, 0.033380542853103934, 0.03391007587673786, 0.012322612424848839]
["['whole',", "'surface',", "'was',", "'covered',", "'with']"]	[0.0, 0.0, 0.0, 0.0, 0.25801729610566854, 0.17108296953814173, 0.0, 0.11524849063880234, 0.09257758513252118, 0.28678283185624065, 0.07629082672862564]
['a', 'certain', 'distance', '.', '']	[0.0, 0.0, 0.10116884671192632, 0.15942890271481502, 0.09601220209747031, 0.12285765459532301, 0.0938017840436039, 0.07674289413033049, 0.11483180840454398, 0.1330258588893703, 0.10213004841261676]
['tenant', 'is', ',', 'by', 'the']	[0.0, 0.0, 0.3619810621005869, 0.22817397018893443, 0.2531278416813371, 0.07992425218377655, 0.011986492496237301, 0.010768049507770194, 0.034599325839020194, 0.01692320406356978, 0.0025158019387675977]
['matter', 'with', 'him', 'its', 'much']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40302559833561763, 0.24280884135895262, 0.1187625328272252, 0.23540302747820463]
['she', 'showed', 'her', 'face', ',']	[0.0, 0.0, 0.0, 0.0, 0.3691402977085292, 0.16317670497641082, 0.2447212574805296, 0.0, 0.0, 0.04318890388844422, 0.1797728359460863]
['I', 'got', 'here', 'before', 'he']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4350921321652498, 0.0, 0.20931748042647602, 0.051190627988112275, 0.30439975942016195]
['good', 'at', 'remembering', 'names', 'and']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3705116638441736, 0.6294883361558264]
['way', 'is', 'the', 'best', ',']	[0.0, 0.0, 0.271545607437874, 0.19170836080247222, 0.15191016486867256, 0.07674418583493513, 0.12228915897397714, 0.07754703703113047, 0.036337295814115496, 0.05078079721154234, 0.021137392025280522]
['room', 'beyond', 'was', 'large', ',']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15383629527261475, 0.8461637047273852]
['next', 'fix', '.', '"']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22628643438199503, 0.773713565618005]
['you', 'until', 'he', 'sees', 'you']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5003782497817368, 0.0, 0.0, 0.41210291938199745, 0.08751883083626559]
['', 'It', 'was', 'this', 'prospect']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.3282560404130659, 0.12307398748656843, 0.294835605615254, 0.11841876725522495, 0.05792092518046872, 0.07749467404941796]
[',', '"', 'he', 'began', 'slowly']	[0.0, 0.0, 0.0, 0.024841047290764955, 0.01640342120732523, 0.08411222610746708, 0.2022682041205061, 0.21296885387135261, 0.1789225375378729, 0.09480737228178902, 0.18567633758292207]
['in', 'retreat', ',', 'and', 'he']	[0.0, 0.0, 0.0, 0.0, 0.6706710073618781, 0.16170922612823765, 0.08084014436992602, 0.01815565890238346, 0.043752600533577476, 0.014266832646520178, 0.010604530057476937]
['you', 'think', 'that', 'the', 'next']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.1401820238643176, 0.31535311208668565, 0.0, 0.22756876298177697, 0.07420554246929832, 0.24269055859792146]
['ignorant', 'and', 'selfish', 'peasant', '.']	[0.46753689610764554, 0.0, 0.1800753218040541, 0.1210774239459364, 0.11992755138919436, 0.07421876156648084, 0.01590117435821007, 0.01428479872445099, 0.0, 0.0028062715030988577, 0.0041718006009289505]
[',', 'but', 'only', 'on', 'three']	[0.0, 0.0, 0.0, 0.0, 0.2033885330932653, 0.13486039399991206, 0.1685453264134177, 0.15141246863439733, 0.1459531552466858, 0.142777061116951, 0.05306306149537082]
['it', 'did', 'not', 'hurt', 'for']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32013184779018944, 0.6798681522098106]
['ugly', 'and', 'unmarried', 'herself', '.']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24960956059901537, 0.07474547167674214, 0.3002102339505292, 0.32304507794344783, 0.052389655830265405]
['from', 'London', 'during', 'the', 'winter']	[0.0, 0.0, 0.0, 0.5526938513240891, 0.1642334749872733, 0.120997704944916, 0.14517126331559904, 0.0, 0.013095020925364879, 0.0, 0.003808684502757718]
['see', 'you', 'and', 'Mrs.', 'Clare']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.08085581524702976, 0.0, 0.4902100789208766, 0.1750130042680251, 0.17120453726679152, 0.08271656429727714]
['if', 'she', 'needed', 'anything', 'at']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10392553135102808, 0.8960744686489719]
['small', ',', 'so', 'light', ',']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31797685381025975, 0.25542659249265187, 0.16657882750383818, 0.2600177261932503]
['man', 'with', 'his', 'whole', 'life']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.180684474264085, 0.0, 0.35495753280149084, 0.4643579929344241]
['it', 'upon', 'himself', 'to', 'turn']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.1438036736045414, 0.0, 0.0, 0.1556320523478602, 0.3044906704794451, 0.39607360356815313]
['', 'Almost', 'there', 'was', 'a']	[0.0, 0.0, 0.0, 0.0, 0.24809127646658174, 0.0, 0.08223595408539, 0.29550623760476097, 0.1780321832247604, 0.05805267190490794, 0.13808167671359894]
['I', 'can', 'scarcely', 'speak', 'of']	[0.0, 0.0, 0.0, 0.15771658511246128, 0.24995000058076813, 0.1104892035814147, 0.08285207389858396, 0.14886009962321248, 0.08968300887923075, 0.11697521640428526, 0.04347381192004361]
[',', 'they', 'had', 'come', 'so']	[0.0, 0.0, 0.0, 0.0, 0.12750836941294252, 0.16909339652329852, 0.25359470663914624, 0.07593882188238109, 0.15250162298682046, 0.11934642185061173, 0.10201666070479942]
[',', 'apart', 'from', 'all', 'personal']	[0.0, 0.0, 0.13618184758227145, 0.3433677181915848, 0.10883416135367818, 0.09621924210825006, 0.09018939746162935, 0.11343013447400956, 0.05206681355666595, 0.044567061826671736, 0.015143623445238862]
['in', 'the', 'pink', ',', 'as']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08967254806688338, 0.16111442732312478, 0.5823948789272007, 0.06330237266291673, 0.10351577301987429]
['nothing', 'of', 'the', 'labor']	[0.0, 0.0, 0.0, 0.19649501777819406, 0.19462890416992493, 0.18927650988006764, 0.09032035062639193, 0.0927304756854509, 0.11173374323036897, 0.07742246213750945, 0.04739253649209216]
['luncheon', ',', '"', 'he', 'said']	[0.0, 0.0, 0.0, 0.030827094301970427, 0.1221373172831921, 0.25915304435929726, 0.12145625141599345, 0.1309320732836048, 0.1928226652280379, 0.08573938239874242, 0.05693217172916162]
[',', 'perhaps', ',', 'her', 'husband']	[0.0, 0.0, 0.10420740067798816, 0.0, 0.2082018503380917, 0.09203463322497246, 0.12422452126391133, 0.27279250187763515, 0.08964433694334643, 0.0828217162476897, 0.026073039426365116]
['know', ',', 'Oriel', ',', 'I']	[0.0, 0.0, 0.0, 0.1758602620316397, 0.13935209339461335, 0.0, 0.18476671195080974, 0.2074811608044206, 0.2000002400513712, 0.04891200613127532, 0.043627525635870024]
['not', 'murdered', 'him', '.']	[0.0, 0.0, 0.0, 0.27457493338092753, 0.26108860285970537, 0.03847098983413342, 0.0865442375192967, 0.06478908338646938, 0.11449726646457944, 0.06618517782559297, 0.09384970872929513]
['You', 'know', ',', 'the', 'stuff']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.33028812809510194, 0.0900624610936718, 0.040453745753927406, 0.08123989456836023, 0.1271552464604611, 0.33080052402847765]
['something', 'else', 'that', 'surprised', 'him']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27177520431001595, 0.12207444571100634, 0.3922431375083375, 0.0, 0.21390721247064026]
['if', 'I', 'should', 'open', 'it']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5285525569153651, 0.471447443084635]
['you', 'think', 'we', 'found', '?']	[0.0, 0.0, 0.19625042430126655, 0.34637687113197985, 0.11762994145325648, 0.017332584541308406, 0.11697400975386738, 0.0700556301769087, 0.05627475926814084, 0.05046264788844893, 0.028643131484822726]
['you', 'and', 'I', 'know', 'in']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15014467886707872, 0.2023234072698684, 0.4333965644034605, 0.15898702479005136, 0.05514832466954096]
['frightened', 'when', 'they', 'saw', 'her']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.2802531015508891, 0.210152213314599, 0.04719748996316988, 0.15165247270095025, 0.22252853314576068, 0.0882161893246311]
['wholly', 'unexpected', 'exclamation', ',', '"']	[0.0, 0.0, 0.0, 0.4246000673947457, 0.2523405837825365, 0.11154594946437038, 0.027881497161544942, 0.02504730569685131, 0.10060084356149586, 0.049205831711276675, 0.008777921227178485]
[',', 'which', 'normally', 'he', 'would']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1254809182797078, 0.20159431729052796, 0.39441482593468363, 0.2785099384950806]
['of', 'a', 'morning', 'bird']	[0.0, 0.0, 0.583403655008958, 0.0, 0.0, 0.0, 0.07727435786239109, 0.0, 0.111527233155204, 0.0818252124671004, 0.14596954150634653]
['not', 'interesting', 'to', 'talk']	[0.0, 0.0, 0.0, 0.325923696545171, 0.2582627187960685, 0.0, 0.0, 0.23071622700309685, 0.06177709581688292, 0.06043276125251918, 0.06288750058626164]
['', 'She', 'stood', 'too', '.']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21925054709543434, 0.08806052936820635, 0.1292163594786104, 0.5634725640577489]
['saw', 'some', 'little', 'violets', 'still']	[0.0, 0.0, 0.0, 0.0, 0.168547407315797, 0.0, 0.11173836538424568, 0.25095002786523507, 0.28221876413219205, 0.09859906681004207, 0.087946368492488]
['give', 'up', 'her', 'plan', ',']	[0.0, 0.0, 0.0, 0.0, 0.3711964200870428, 0.08204280202519287, 0.0, 0.2210695576937262, 0.13318668438189374, 0.1085736684019004, 0.08393086741024405]
['you', 'were', 'supposed', 'to', 'know']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027169485663266546, 0.26189865304676, 0.23484950771952592, 0.4760823535704475]
['it', 'and', 'would', 'have', 'to']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2354464929564372, 0.1891310474003673, 0.3435999485940824, 0.23182251104911314]
[':', 'I', 'certainly', 'would', '.']	[0.0, 0.0, 0.0, 0.0, 0.41425504939270363, 0.24415928722080144, 0.18308669672813305, 0.08223784460723252, 0.03303028533407018, 0.0, 0.0432308367170593]
['a', 'word', ',', 'he', 'had']	[0.20346909277855782, 0.16735951893489892, 0.07183700176168556, 0.11197077032657637, 0.10438341993310851, 0.08651661013739459, 0.06401083490170625, 0.0660519469695306, 0.05430709251723569, 0.03541687538631607, 0.03467683635298948]
['is', 'a', 'very', 'dangerous', 'character']	[0.8241668226612541, 0.0, 0.0, 0.0, 0.0, 0.056070723045459556, 0.042045517016387264, 0.02518102266387909, 0.03034137266962611, 0.01484055624800123, 0.007353985695392689]
['shadow', ',', 'moving', ',', 'pausing']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.13716525951104774, 0.44570732112723166, 0.3080004430872273, 0.02474126739770233, 0.04840574280675287, 0.03597996607003817]
['our', 'safety', 'and', 'our']	[0.0, 0.0, 0.5004608384793169, 0.10094860611966684, 0.03999595879571967, 0.07072008999473736, 0.0795458641989534, 0.04763994716561592, 0.06696994181857199, 0.0561536618270306, 0.03756509160038735]
['of', 'thine', 'own', 'accord']	[0.0, 0.0, 0.0518792582380272, 0.261615815013842, 0.22803549916713706, 0.1374572767247526, 0.09620287540575695, 0.08642372449523703, 0.06942303250636746, 0.050934235739881914, 0.018028282708997843]
['making', 'up', 'a', 'roaring', 'fire']	[0.0, 0.0, 0.0, 0.0, 0.35816361205026376, 0.0, 0.0, 0.37328855364203517, 0.2141841056550402, 0.04190464685974449, 0.012459081792916538]
['want', 'you', 'to', 'lie', 'on']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27508886110806685, 0.220975236353039, 0.0540416457129435, 0.44989425682595063]
['if', 'the', 'place', 'were', 'his']	[0.0, 0.0, 0.2762730952272043, 0.1741481408683743, 0.24839172806167728, 0.09760033480821498, 0.03659357606871631, 0.06574758026970542, 0.0726194698248533, 0.016145271318450987, 0.0124808035528033]
['up', 'and', 'he', 'grabbed', 'her']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4612165247359494, 0.0, 0.0, 0.5387834752640507]
['she', 'shot', 'him', 'a', 'withering']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
['see', 'me', 'best', 'by', 'the']	[0.0, 0.0, 0.0, 0.0, 0.6135145443375908, 0.12327326052841467, 0.018487680171382102, 0.03321676552698901, 0.06670646880833146, 0.0652548659043765, 0.07954641472291545]
['wearing', 'shoes', '!', '"', '']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22044474182993348, 0.5391190811182822, 0.24043617705178436]
['a', '-', 'r', '-', 'a']	[0.0, 0.0, 0.0, 0.12947356271479116, 0.0, 0.22675850512178228, 0.06801537820711578, 0.09165228611128443, 0.1963281780212949, 0.12003491901626161, 0.1677371708074698]
['smile', ',', 'she', 'assured', 'me']	[0.0, 0.0, 0.0, 0.4235718135049382, 0.2517294906462995, 0.03709193955436336, 0.11125590618400849, 0.049973297284310166, 0.040142887408309146, 0.0687213379432239, 0.01751332747454714]
['not', 'cold', '-', 'bloodedly']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04803331123762895, 0.6173523572448502, 0.18872441274921337, 0.14588991876830745]
['were', 'holding', 'our', 'own', '.']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10405095150221036, 0.37389613265368865, 0.22525935606361755, 0.22035747561264493, 0.07643608416783852]
['mind', ',', 'and', 'had', 'he']	[0.0, 0.0, 0.0, 0.0, 0.2666439899065528, 0.0, 0.22096426790377463, 0.11910177278213531, 0.19134575122079722, 0.10918942210854052, 0.09275479607819939]
['I', "'", 'd', 'given', 'to']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2762377977124646, 0.0, 0.19934191706012339, 0.2925060410015668, 0.23191424422584528]
['path', 'in', 'the', 'sunlight', ',']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.10729167492447839, 0.0, 0.5059324454430227, 0.1741752121116399, 0.17038497634867816, 0.04221569117218095]
['I', 'were', 'young', 'and', 'beautiful']	[0.0, 0.0, 0.23440748292820643, 0.0, 0.2810015681874089, 0.0, 0.15524146588641463, 0.0, 0.06721628612728824, 0.16438397265598367, 0.0977492242146982]
['gotten', 'some', 'sleep', '.', '"']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10392553135102808, 0.8960744686489719]
['or', 'those', 'about', 'her']	[0.0, 0.0, 0.1930673223930423, 0.0, 0.385740105794071, 0.1023087424994634, 0.12786304331521975, 0.13783871280756957, 0.0, 0.0451310584579222, 0.00805101473271185]
['Some', 'of', 'the', 'men', 'of']	[0.0, 0.0, 0.07624478240135098, 0.07689717072269762, 0.030466751250498445, 0.10774145464481835, 0.060593723229227965, 0.24495430611479724, 0.20405627169164336, 0.09624332860002956, 0.10280221134493642]
['If', 'she', 'could', 'not', 'escape']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17106846060556863, 0.2561318714373765, 0.1234484026734605, 0.060381017811873834, 0.3889702474717206]
['is', 'sick', ',', 'very', 'sick']	[0.0, 0.0, 0.2810677758409447, 0.09449091055926502, 0.18718706035516625, 0.049647087428684414, 0.049638203229028434, 0.044592413503343385, 0.07164098956069868, 0.13578388719939505, 0.08595167232347417]
['up', 'to', 'Bohemia', ',', 'without']	[0.0, 0.44061459818316573, 0.08596743723101803, 0.21675754357026178, 0.03435183947372453, 0.030370133036122616, 0.03416028568933285, 0.040917129301200665, 0.07395342230161986, 0.03215294136417278, 0.010754669849381253]
['kindly', ',', '"', 'what', 'I']	[0.0, 0.0, 0.0, 0.0, 0.5066057366557638, 0.26126641975040843, 0.11195128581269133, 0.02514282198207713, 0.060590687035007904, 0.01975738999108714, 0.014685658772963954]
['Molly', 'had', 'disappeared', 'from', 'the']	[0.0, 0.0, 0.0, 0.0, 0.22913442313308288, 0.36463599727326024, 0.18228537336927494, 0.068231592269343, 0.07673334730756266, 0.037531774492038185, 0.04144749215543815]
['of', 'this', 'letter', '...']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2255757129113951, 0.362403961216873, 0.2363451132989994, 0.17567521257273247]
['of', 'a', 'landing', 'of']	[0.0, 0.0, 0.26408106910733525, 0.2663406782235036, 0.0, 0.0, 0.03497868904947076, 0.21996140978178982, 0.12620863236517216, 0.0370386599444855, 0.051390861528242786]
['of', 'brains', ',', 'too']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.3141895561513278, 0.1346285712249668, 0.15117924619794756, 0.2185925127839172, 0.14255713990198662, 0.03885297373985394]
['man', 'was', 'the', 'product', 'of']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.280134356112357, 0.07002105672418633, 0.31451661344180115, 0.0, 0.24714916228875533, 0.08817881143290031]
['vicar', 'told', 'her', 'to', 'be']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13611717484935093, 0.24456136406805043, 0.294679353846296, 0.09608894041585898, 0.22855316682044374]
['was', 'busy', 'in', 'the', 'same']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08717922464021509, 0.33937513954433896, 0.440378968340147, 0.10257044260120861, 0.030496224874090278]
['', 'Nat', '--', 'urally', ',']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.1631886922672213, 0.12236961759955496, 0.0, 0.0, 0.4319207663268349, 0.2825209238063887]
['member', 'of', 'the', 'family', 'being']	[0.0, 0.0, 0.33549893823734017, 0.05639493903358867, 0.0, 0.11852333529921197, 0.044438297211913065, 0.1596843395410616, 0.1175829541734678, 0.11502422545070723, 0.05285297105270946]
['of', 'the', 'seven', 'deadly']	[0.11112371117470071, 0.01828052662985917, 0.10700031492935774, 0.05755512688028477, 0.12541875657516371, 0.08946122981081381, 0.095429232251255, 0.09761191255647016, 0.10909266879720185, 0.10405073017157326, 0.08497579022331976]
['no', 'doubt', 'that', 'war']	[0.0, 0.0, 0.42573943548948845, 0.0, 0.0, 0.07520151647532364, 0.05639104453955117, 0.0, 0.2441613497491992, 0.139328082856635, 0.05917857088980242]
['No', 'one', 'deserves', 'happiness']	[0.0, 0.0, 0.0, 0.38334922277057093, 0.0, 0.13427868187506217, 0.10069098982616316, 0.18091123216818714, 0.0, 0.0, 0.20076987336001662]
['a', 'habit', 'with', 'me', 'to']	[0.0, 0.0, 0.0, 0.15335534035551798, 0.18227870922829653, 0.08057543254925828, 0.18126228108058653, 0.14474375809491433, 0.09446997834367854, 0.10307739061839066, 0.060237109729357224]
['with', 'the', 'idea', 'that', 'God']	[0.0, 0.0, 0.0, 0.0765556993513243, 0.3033145988368972, 0.26815753856560426, 0.1608657315396705, 0.0, 0.07255361951719548, 0.04258486587927815, 0.07596794631003015]
['', 'The', 'young', 'noble', "'s"]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.2537724686380668, 0.5708858778097994, 0.0854757608404138, 0.0, 0.0, 0.08986589271172027]
['you', 'looking', 'forward', 'to', 'your']	[0.0, 0.0, 0.3810331014742699, 0.0, 0.0, 0.0, 0.07570424350603545, 0.06800880593527896, 0.14568152661751457, 0.13360438444909822, 0.19596793801780305]
['me', 'a', 'purse', '.', '']	[0.0, 0.0, 0.5950816692234436, 0.0, 0.0, 0.0, 0.07882116176357404, 0.2832355411381806, 0.0, 0.01391051850104749, 0.02895110937375415]
['I', 'resigned', 'myself', 'to', 'make']	[0.0, 0.0, 0.0, 0.21951744685719826, 0.4348653783804746, 0.07689206515022691, 0.05765872915670954, 0.07769646337026365, 0.06241253930777853, 0.04070291788325075, 0.030254459894097675]
['of', 'his', 'wretched', 'marriage']	[0.0, 0.0, 0.0, 0.0, 0.6994548904637278, 0.0, 0.0, 0.0, 0.05577045987537613, 0.16367050807545702, 0.08110414158543909]
['Mr.', 'Bennet', 'seemed', 'wholly', 'disinclined']	[0.0, 0.37648082195955773, 0.0, 0.07408293643084715, 0.0, 0.0, 0.058376152255160164, 0.26221069164061933, 0.12637822409716007, 0.04120936701750791, 0.06126180659914749]
['much', 'to', 'answer', 'for', ',']	[0.0, 0.14584429472050947, 0.2655836404425502, 0.15306063217554827, 0.05306245525740803, 0.0971748771625445, 0.055279260416805996, 0.06546097458576952, 0.06165012872600667, 0.04434452727871168, 0.058539209234145774]
['go', 'if', 'a', 'real', 'effect']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.08801661868370811, 0.0, 0.6522075651360245, 0.19051261575047707, 0.0, 0.06926320042979044]
['want', 'you', 'to', 'run', 'across']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3223742938701354, 0.2838231812294299, 0.39380252490043477]
['like', 'they', 'say', '.', '']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.02051494814300183, 0.01538345779021898, 0.059885404530447245, 0.2183233812151416, 0.35655737007980354, 0.32933543824138684]
['I', 'would', 'have', 'kept', 'him']	[0.0, 0.0, 0.0, 0.13848204102126066, 0.02743337535571205, 0.13339471759614951, 0.19096280366687285, 0.20422759446707175, 0.11811839039313353, 0.10912867612548098, 0.0782524013743186]
